80	23077.9
160	22385.2
240	22256.3
320	21253.5
400	21123.3
640	20330.3
960	19876
1200	19464.2
1360	19164.4
1600	18815.9
1680	18624.1
2000	17446.1
2240	17298.8
2800	17240.3
3440	16962.9
5120	16681.8
5600	16646.1
6400	16526.4
6480	16154.1
7200	15997.5
7280	15941.9
7360	15555
8720	15284.7
10480	15206.5
10960	15096.8
11440	14873.9
11520	14538.7
11600	14495.9
11680	14360
12000	14358.8
12480	14161.8
13280	14080.8
13360	14021.7
13520	13711.6
13760	13588.5
13840	12875.5
15920	12841
16000	12660.9
19040	12587.4
19120	12523.1
19200	12419.7
19280	12332
19840	11948.8
20880	11746
21760	11582.9
22160	11552
24000	11496.7
24560	11456
26000	11287.2
26240	11264.8
26320	11223.3
26720	11220.7
26880	11133
27200	10993.5
27600	10593
28560	10499.5
28640	10372.2
29040	10274.3
31200	10213.5
35520	10208.6
35680	10103.3
36000	9767.83
36080	9759.89
36320	9724.9
36400	9687.95
36560	9559.4
36640	9525.67
37040	9487.49
37120	9379.09
37280	9350.84
40480	9341.63
47920	9297.33
62000	9189.54
69120	9097.7
69440	8986.14
69840	8961.17
70160	8959.23
70240	8938.67
81760	8935.99
81920	8871.6
82000	8832.43
82320	8702.54
93520	8647.95
99760	8590.06
